Vehicle_ID,Speed,Position,Cluster
veh1.9,0.0,"(5.1, -1.6)",2
veh1.5,10.363410657103524,"(434.1834407324828, -1.6)",1
veh1.6,13.499339075116966,"(395.7913734712069, -1.6)",4
veh1.7,11.521028542561568,"(223.75647130453763, -1.6)",0
veh1.8,13.00588224913762,"(113.30675624018488, -1.6)",3
veh1.9,2.043931082612835,"(7.143931082612834, -1.6)",2
veh1.5,10.29823811228329,"(444.48167884476607, -1.6)",1
veh1.6,13.36841270337865,"(409.1597861745855, -1.6)",1
veh1.7,11.888587160940396,"(235.64505846547803, -1.6)",0
veh1.8,12.92528069710196,"(126.23203693728682, -1.6)",3
veh1.9,3.5358599049039183,"(10.679790987516753, -1.6)",2
veh1.5,11.089596097305767,"(455.57127494207185, -1.6)",1
veh1.6,14.516139545883576,"(423.6759257204691, -1.6)",1
veh1.7,11.021144214525,"(246.66620268000304, -1.6)",0
veh1.8,11.915309773099844,"(138.14734671038667, -1.6)",3
veh1.9,5.948754664766603,"(16.628545652283357, -1.6)",2
veh1.5,11.469295647362598,"(467.0405705894344, -1.6)",1
veh1.6,14.4443021893134,"(438.1202279097825, -1.6)",1
veh1.7,11.982344217781089,"(258.6485468977841, -1.6)",0
veh1.8,12.971177974569846,"(151.11852468495653, -1.6)",3
veh1.9,7.846276451461018,"(24.474822103744376, -1.6)",2
veh1.5,10.655657367472887,"(477.6962279569073, -1.6)",1
veh1.6,13.548464694204569,"(451.66869260398704, -1.6)",1
veh1.7,11.14652216338657,"(269.7950690611707, -1.6)",0
veh1.8,12.740646141970764,"(163.85917082692728, -1.6)",3
veh1.9,9.45623846149538,"(33.931060565239754, -1.6)",2
veh1.5,10.37356068551948,"(488.0697886424268, -1.6)",1
veh1.6,12.504444506526566,"(464.1731371105136, -1.6)",1
veh1.7,11.96687296281673,"(281.76194202398744, -1.6)",0
veh1.8,12.144499563559194,"(176.0036703904865, -1.6)",3
veh1.9,11.40785502788888,"(45.33891559312863, -1.6)",2
veh1.5,10.482636088011205,"(498.55242473043796, -1.6)",1
veh1.6,12.186626570689985,"(476.3597636812036, -1.6)",1
veh1.7,11.950043353388198,"(293.71198537737564, -1.6)",0
veh1.8,12.36087258518045,"(188.36454297566695, -1.6)",3
veh1.9,11.756453386599176,"(57.09536897972781, -1.6)",2
veh1.6,11.778813856664234,"(488.13857753786783, -1.6)",1
veh1.7,12.043043492404855,"(305.7550288697805, -1.6)",4
veh1.8,11.93905590161984,"(200.3035988772868, -1.6)",0
veh1.9,11.3529864060208,"(68.44835538574861, -1.6)",2
veh1.7,11.03963422020536,"(316.7946630899859, -1.6)",4
veh1.8,12.948869733575966,"(213.25246861086276, -1.6)",0
veh1.9,10.756839066672116,"(79.20519445242073, -1.6)",2
veh1.10,0.0,"(5.1, -1.6)",2
veh1.7,11.616883888627514,"(328.4115469786134, -1.6)",4
veh1.8,12.871778436185096,"(226.12424704704785, -1.6)",0
veh1.9,11.226002850195371,"(90.4311973026161, -1.6)",3
