Vehicle_ID,Cluster,AoN,SoN,SoB,Reputation
veh1.3,4,112,796.4,0.8561187109048023,4.401619292053668
veh1.4,0,74,788.6,0.755455868996624,3.779845106761269
veh1.5,2,34,780.4,0.84274969124589,3.377812812570522
veh1.2,1,146,802.6,0.7143094106658358,4.653200608948839
veh1.3,4,116,796.4,0.8561187109048023,4.451276411241185
veh1.4,0,78,788.6,0.755455868996624,3.8295022259487874
veh1.5,2,38,780.4,0.84274969124589,3.42746993175804
veh1.2,1,150,802.6,0.7143094106658358,4.702857728136357
veh1.3,1,120,796.4,0.8561187109048023,4.5009335304287035
veh1.4,0,82,788.6,0.755455868996624,3.879159345136306
veh1.5,3,42,780.4,0.84274969124589,3.4771270509455583
veh1.6,2,0,771.8,0.616753915642777,2.640076284302532
veh1.3,1,124,796.4,0.8561187109048023,4.550590649616222
veh1.4,0,86,788.6,0.755455868996624,3.9288164643238233
veh1.5,3,46,780.4,0.84274969124589,3.5267841701330767
veh1.6,2,4,771.8,0.616753915642777,2.68973340349005
veh1.3,1,128,796.4,0.8561187109048023,4.60024776880374
veh1.4,0,90,788.6,0.755455868996624,3.9784735835113416
veh1.5,3,50,780.4,0.84274969124589,3.576441289320595
veh1.6,2,8,771.8,0.616753915642777,2.7393905226775686
veh1.3,1,132,796.4,0.8561187109048023,4.649904887991259
veh1.4,0,94,788.6,0.755455868996624,4.02813070269886
veh1.5,3,54,780.4,0.84274969124589,3.626098408508113
veh1.6,2,12,771.8,0.616753915642777,2.7890476418650865
veh1.3,1,136,796.4,0.8561187109048023,4.699562007178777
veh1.4,0,98,788.6,0.755455868996624,4.077787821886378
veh1.5,3,58,780.4,0.84274969124589,3.6757555276956313
veh1.6,2,16,771.8,0.616753915642777,2.838704761052605
veh1.3,1,140,796.4,0.8561187109048023,4.749219126366294
veh1.4,4,102,788.6,0.755455868996624,4.127444941073897
veh1.5,3,62,780.4,0.84274969124589,3.725412646883149
veh1.6,2,20,771.8,0.616753915642777,2.8883618802401227
veh1.3,1,144,796.4,0.8561187109048023,4.798876245553813
veh1.4,4,106,788.6,0.755455868996624,4.177102060261415
veh1.5,3,66,780.4,0.84274969124589,3.7750697660706676
veh1.6,2,24,771.8,0.616753915642777,2.938018999427641
veh1.4,4,109,788.6,0.755455868996624,4.214344899652053
veh1.5,3,69,780.4,0.84274969124589,3.8123126054613063
veh1.6,2,27,771.8,0.616753915642777,2.97526183881828
veh1.4,4,112,788.6,0.755455868996624,4.251587739042692
veh1.5,3,72,780.4,0.84274969124589,3.849555444851945
veh1.6,2,30,771.8,0.616753915642777,3.0125046782089187
veh1.4,4,115,788.6,0.755455868996624,4.2888305784333305
veh1.5,0,75,780.4,0.84274969124589,3.886798284242584
veh1.6,3,33,771.8,0.616753915642777,3.049747517599557
veh1.4,4,118,788.6,0.755455868996624,4.326073417823969
veh1.5,0,78,780.4,0.84274969124589,3.924041123633222
veh1.6,3,36,771.8,0.616753915642777,3.0869903569901957
veh1.7,2,0,764.4,0.6120442434342902,2.6163357116369848
veh1.4,4,122,788.6,0.755455868996624,4.375730537011488
veh1.5,0,82,780.4,0.84274969124589,3.9736982428207406
veh1.6,3,40,771.8,0.616753915642777,3.136647476177714
veh1.7,2,4,764.4,0.6120442434342902,2.6659928308245027
veh1.4,4,126,788.6,0.755455868996624,4.425387656199006
veh1.5,0,86,780.4,0.84274969124589,4.0233553620082585
veh1.6,3,44,771.8,0.616753915642777,3.1863045953652325
veh1.7,2,8,764.4,0.6120442434342902,2.715649950012021
veh1.4,1,130,788.6,0.755455868996624,4.475044775386524
veh1.5,0,90,780.4,0.84274969124589,4.073012481195777
veh1.6,3,48,771.8,0.616753915642777,3.2359617145527504
veh1.7,2,12,764.4,0.6120442434342902,2.7653070691995394
veh1.4,1,134,788.6,0.755455868996624,4.524701894574042
veh1.5,0,94,780.4,0.84274969124589,4.122669600383295
veh1.6,3,52,771.8,0.616753915642777,3.2856188337402688
veh1.7,2,16,764.4,0.6120442434342902,2.8149641883870578
veh1.4,1,138,788.6,0.755455868996624,4.57435901376156
veh1.5,0,98,780.4,0.84274969124589,4.172326719570814
veh1.6,3,56,771.8,0.616753915642777,3.3352759529277867
veh1.7,2,20,764.4,0.6120442434342902,2.8646213075745757
veh1.4,1,142,788.6,0.755455868996624,4.6240161329490785
veh1.5,0,102,780.4,0.84274969124589,4.221983838758332
veh1.6,3,60,771.8,0.616753915642777,3.384933072115305
veh1.7,2,24,764.4,0.6120442434342902,2.914278426762094
veh1.4,1,146,788.6,0.755455868996624,4.673673252136597
veh1.5,0,106,780.4,0.84274969124589,4.27164095794585
veh1.6,0,64,771.8,0.616753915642777,3.4345901913028234
veh1.7,2,28,764.4,0.6120442434342902,2.9639355459496124
veh1.4,1,150,788.6,0.755455868996624,4.723330371324115
veh1.5,0,110,780.4,0.84274969124589,4.321298077133368
veh1.6,0,68,771.8,0.616753915642777,3.4842473104903418
veh1.7,2,32,764.4,0.6120442434342902,3.0135926651371303
veh1.4,1,154,788.6,0.755455868996624,4.772987490511634
veh1.5,4,114,780.4,0.84274969124589,4.370955196320886
veh1.6,0,72,771.8,0.616753915642777,3.5339044296778597
veh1.7,2,36,764.4,0.6120442434342902,3.0632497843246487
veh1.5,4,117,780.4,0.84274969124589,4.408198035711525
veh1.6,0,75,771.8,0.616753915642777,3.5711472690684984
veh1.7,3,39,764.4,0.6120442434342902,3.1004926237152874
veh1.8,2,0,756.4,0.9364747300289007,3.021113258700448
veh1.5,4,121,780.4,0.84274969124589,4.457855154899043
veh1.6,0,79,771.8,0.616753915642777,3.6208043882560164
veh1.7,3,43,764.4,0.6120442434342902,3.1501497429028054
veh1.8,2,4,756.4,0.9364747300289007,3.070770377887966
veh1.5,4,125,780.4,0.84274969124589,4.507512274086562
veh1.6,0,83,771.8,0.616753915642777,3.6704615074435347
veh1.7,3,47,764.4,0.6120442434342902,3.1998068620903237
veh1.8,2,8,756.4,0.9364747300289007,3.120427497075484
veh1.5,4,129,780.4,0.84274969124589,4.55716939327408
veh1.6,0,87,771.8,0.616753915642777,3.720118626631053
veh1.7,3,51,764.4,0.6120442434342902,3.249463981277842
veh1.8,2,12,756.4,0.9364747300289007,3.1700846162630025
veh1.5,4,133,780.4,0.84274969124589,4.6068265124615975
veh1.6,4,91,771.8,0.616753915642777,3.7697757458185714
veh1.7,3,55,764.4,0.6120442434342902,3.2991211004653604
veh1.8,2,16,756.4,0.9364747300289007,3.219741735450521
veh1.5,4,137,780.4,0.84274969124589,4.656483631649116
veh1.6,4,95,771.8,0.616753915642777,3.81943286500609
veh1.7,3,59,764.4,0.6120442434342902,3.3487782196528784
veh1.8,2,20,756.4,0.9364747300289007,3.2693988546380393
veh1.5,4,141,780.4,0.84274969124589,4.706140750836634
veh1.6,4,99,771.8,0.616753915642777,3.8690899841936077
veh1.7,3,63,764.4,0.6120442434342902,3.3984353388403967
